day,time,artist,album,type,title,spotify,apple,year,month
14,12:00,Flowsik,Kari,digital single,Kari,https://open.spotify.com/album/4ZqLujYt07KwRz703UnS1Y,None,2018,12
14,12:00,Jessica,One More Christmas,digital single,One More Christmas,https://open.spotify.com/album/2caaMw05tWjSyn0qX10VkK,None,2018,12
14,13:00,Jun (SEVENTEEN),能不能坐在我身旁,Chinese debut special digital single,能不能坐在我身旁,None,None,2018,12
14,18:00,BUZZ,15,mini album,Missing You,https://open.spotify.com/album/5w9xtNBZiBXEWDGXHdyah7,None,2018,12
14,18:00,Heize,First Sight,digital single,First Sight,https://open.spotify.com/album/2sKtwXOe7K4TETlta1ehba,None,2018,12
14,18:00,Son Dongwoon (Highlight) X Seoryoung (GWSN),Color Me,digital single,Color Me,https://open.spotify.com/album/1quDsW3ppr0p2TkOugkyj2,None,2018,12
14,18:00,Yoon Jong Shin,몰린2,Melody Monhly project single,몰린2,https://open.spotify.com/album/4gM7ggxjzVwDmfF5P8z43O,None,2018,12
14,18:00,Younha,Snail mail,digital single,Snail mail,https://open.spotify.com/album/1eSEUUZ08muf0RLN2s0Lki,None,2018,12
16,18:00,Junggigo,Swish,digital single,Swish (feat. SOMA),https://open.spotify.com/album/5PY7ZDjwklNCt2XL3MVrzn,None,2018,12
17,12:00,Eyedi,Caffeine,digital single,Caffeine,https://open.spotify.com/album/7EjK4oHHAV8v7hvYAMqfLo,None,2018,12
17,12:00,Yesung (Super Junior) X Chungha,Whatcha Doin',digital single,Whatcha Doin',https://open.spotify.com/album/5ZqrNpvlfW0qeZ6bDCjmaU,None,2018,12
17,18:00,FNC Entertainment Artists,It's Christmas,FNC Lab winter special single,It's Christmas,https://open.spotify.com/album/5T3gFIMhsV2HuCRmZNgo2S,None,2018,12
17,18:00,Kwon Jin Ah,This Winter,digital single,This Winter,https://open.spotify.com/album/7pAi6yu5aXDZ8y6TjdKDAx,None,2018,12
17,18:00,Saturday,To Sunday Christmas,special Christmas digital single,In Your Eyes,https://open.spotify.com/album/0eI0amSEidi6rbwFcQmA9T,None,2018,12
17,18:00,Taeil (Block B),Later,digital single,Later,https://open.spotify.com/album/4U3z8CWGB8kCWI2Ddax2EL,None,2018,12
18,12:00,Jaehan (SPECTRUM),in the winter,digital single,in the winter,https://open.spotify.com/album/3pemJBrze3469CwH9RVZ7F,None,2018,12
18,18:00,Kim Minseok (MeloMance),Good Night,debut digital single,Good Night,https://open.spotify.com/album/5lfQVkbfDVpa03b6QQj8Ae,None,2018,12
19,00:00,Nichkhun (2PM),ME,Japanese mini album,Lucky Charm / Umbrella,https://open.spotify.com/album/56pbijpJ1lVTaiya4t9CaD,None,2018,12
19,00:00,U-KISS,Glory,Japanese mini album,Glory,https://open.spotify.com/album/30oTRLz6PUKEpZ2kdhfHSR,None,2018,12
19,11:00,Zhoumi,The Lonely Flame,Chinese digital single,The Lonely Flame,https://open.spotify.com/album/0w6R6lpIysWgGu4twqh9Ub,None,2018,12
