day,time,artist,album,type,title,spotify,apple,year,month
1st,18:00,IZ*ONE,HEART*IZ,mini album,Violeta,https://open.spotify.com/album/2UBE2MgNdsGa9OCSbvwdEQ,https://itunes.apple.com/gb/album/heart-iz/1457956470,2019,4
2nd,18:00,BOL4 (Bolbbalgan4),Youth Diary 1: Flower Energy,mini album,BOM / Stars Over Me,https://open.spotify.com/album/4pR0eatWzDISWS8LHv5dzZ,https://itunes.apple.com/gb/album/puberty-book-bom-ep/1458472900,2019,4
2nd,18:00,Henry Prince Mak,Go Away,debut digital single,Go Away,https://open.spotify.com/album/2CyHMuH0qOjGg5zcDKX8vc,https://itunes.apple.com/gb/album/go-away-single/1457354175,2019,4
1st,18:00,Chancellor,Angel,digital single,Angel (feat. SNSD's Taeyeon),https://open.spotify.com/album/41Vwyh4EilNUDh7Nj0Au2S,https://itunes.apple.com/gb/album/angel-feat-taeyeon-single/1461759930,2019,5
1st,18:00,Kim Donghan,D-HOURS AM 7:03,mini album,Focus,https://open.spotify.com/album/6eQG1mSFp7lCvvRkY2BqoJ,https://itunes.apple.com/gb/album/d-hours-am-7-03-ep/1462016091,2019,5
1st,18:00,I LUV,Got It,single album,Got It,https://open.spotify.com/album/3HCKzxhnDRSCRjnR5HRu0b,None,2019,5
2nd,18:00,Golden Child,Spring Again,special single album,Spring Again,https://open.spotify.com/album/5hLN6FBpDTtI4kVj8hFzFV,https://itunes.apple.com/gb/album/spring-again-single/1462262216,2019,5
2nd,18:00,GROW.B,Let It,debut mini album,Let It,https://open.spotify.com/album/5dMSom0wEHjPP3hEXPJEMa,https://itunes.apple.com/gb/album/let-it-ep/1462401960,2019,5
2nd,18:00,My Darling,Kung Chi Dda,single album,Kung Chi Dda,None,https://itunes.apple.com/gb/album/kung-chi-dda-single/1462729923,2019,5
2nd,18:00,Park Bom,re:Blue Rose,digital single,4:44 (feat. MAMAMOO's Wheein),https://open.spotify.com/album/69eZdv1oZC1TL8A55wIw73,https://itunes.apple.com/gb/album/re-blue-rose-ep/1462028267,2019,5
3rd,12:00,Yongseok (Cross Gene),Karma,2019 Relay project single,Karma (feat. Cross Gene's Sangmin),https://open.spotify.com/album/7rHgNM6Y61bOEgpeBpWPY0,https://itunes.apple.com/gb/album/karma-feat-sangmin-single/1462377968,2019,5
3rd,18:00,Cheetah,Flight,digital single,Flight (feat. Chaboom),https://open.spotify.com/album/1wyaEdxRDByJa4LXMC6M0q,https://itunes.apple.com/gb/album/flight-single/1462402508,2019,5
3rd,18:00,Moon Myung Jin,Spring Darling,digital single,Spring Darling (feat. Block B's Taeil),https://open.spotify.com/album/6iZSwud0RAw1N3ZAzSrKoa,https://itunes.apple.com/gb/album/love-me-single/1462262143,2019,5
4th,18:00,Jenyer (Jeon Jiyoon),The moment I loved,mini album,"Illusion, Something I Can't Decide",https://open.spotify.com/album/3KJwj3qcRvAXEiYDZ5IP88,https://itunes.apple.com/gb/album/the-moment-i-loved-ep/1462004558,2019,5
5th,18:00,BIGONE,blossom,digital single,Blossom / Too Much,https://open.spotify.com/album/5Atn0oeckhw1HJqV39TK6D,https://itunes.apple.com/gb/album/peach-blossom/1462377990,2019,5
6th,18:00,Kim Bum Soo,re.MAKE20 #6,remake single,Forever,https://open.spotify.com/album/5fWYoTabqdcHovzP4kYCdu,https://itunes.apple.com/gb/album/re-make20-6-single/1461998761,2019,5
6th,18:00,Park Hyo Shin,Goodbye,digital single,Goodbye,https://open.spotify.com/album/5RsD2scdc9PS7RSKEO3P28,https://itunes.apple.com/gb/album/goodbye-single/1462278660,2019,5
7th,18:00,MOMOLAND X Erik,Love Is Only You,digital single,Love Is Only You,https://open.spotify.com/album/38gmSw0TvsC3HVflBj6aDD,https://itunes.apple.com/gb/album/love-is-only-you-momola-single/1462734064,2019,5
7th,18:00,Nam Woohyun (INFINITE),A New Journey,mini album,Hold On Me (feat. Junoflo),https://open.spotify.com/album/12Z2vK39UyWavZ6NpoK5ZH,https://itunes.apple.com/gb/album/a-new-journey/1462733749,2019,5
8th,00:00,MOMOLAND,I’m So Hot -Japanese ver.-,Japanese single album,I’m So Hot -Japanese ver.-,https://open.spotify.com/album/1ILBN4DJseiygMTVmTYpjm,None,2019,5
8th,18:00,Eric Nam,Runaway,digital single,Runaway,https://open.spotify.com/album/5drRznvTaLxrrdPgPLqHP5,https://itunes.apple.com/gb/album/runaway-single/1462395766,2019,5
8th,18:00,Oh My Girl,The Fifth Season,full-length album,SSFWL,https://open.spotify.com/album/30CtcU5ApB65Dl9uxHQHjw,https://itunes.apple.com/gb/album/the-fifth-season/1462891924,2019,5
8th,18:00,Yu Seungwoo,Yu Seung Woo 2,full-length album,Still Here,https://open.spotify.com/album/3ZljbnFpxsQQHnA8iRWTJa,https://itunes.apple.com/gb/album/yu-seung-woo-2/1462892370,2019,5
9th,16:00,WayV,Take Off,Chinese mini album,Take Off,https://open.spotify.com/album/7IzPpfu5gInokmyg2rDhRL,https://itunes.apple.com/gb/album/take-off-the-1st-mini-album-ep/1462855350,2019,5
9th,18:00,Henry,Untitled Love Song,pre-release single,Untitled Love Song,https://open.spotify.com/album/41cmDVfUY0oufOnggYH3jh,https://itunes.apple.com/gb/album/untitled-love-song-single/1463024253,2019,5
9th,18:00,Xiumin (EXO),You,SM STATION 3 project single,You,https://open.spotify.com/album/0WxVZ3hfD1LKSIkbOriLGi,https://itunes.apple.com/gb/album/you-single/1462744746,2019,5
10th,00:00,Seyong (MYNAME),Connection,Japanese debut mini album,Connection,None,None,2019,5
10th,18:00,NC.A,some-,mini album,Awesome Breeze,https://open.spotify.com/album/09xxt3lLIOYZMSfoMICtyu,https://itunes.apple.com/gb/album/some-ep/1463028158,2019,5
11th,18:00,Hyuk (VIXX),If Only,digital single,If Only (feat. The Ade's An Daeun),https://open.spotify.com/album/2Wk1tqVXURj5To8Y8HG6lr,https://itunes.apple.com/gb/album/if-only-feat-an-daeun-single/1463148638,2019,5
12th,18:00,Lim Jimin,MINI,debut single,Loveholic,https://open.spotify.com/album/74DqQrYGTSS6NfqZY7Vml0,https://itunes.apple.com/gb/album/mini-ep/1463353898,2019,5
12th,18:00,Maywish,Srr,digital single,Srr,https://open.spotify.com/album/2792HOxLLg4w8nK4eYzshO,https://itunes.apple.com/gb/album/%EC%8A%A4%EB%A5%B4%EB%A5%B4-single/1463306372,2019,5
13th,00:00,Taeyeon (SNSD),VOICE,Japanese mini album,Voice,https://open.spotify.com/album/0sbwoolm9aZGBPBEqoU3CX,https://itunes.apple.com/gb/album/voice/1462270130,2019,5
13th,12:00,Mail,DM,debut digital single,DM,https://open.spotify.com/album/6rQ2RyKVZezfFWOK5Xz8OJ,https://itunes.apple.com/gb/album/dm-single/1463352769,2019,5
1st,12:00,Sik-K,WHY YOU?,digital single,WHY YOU? (prod. GXXD),https://open.spotify.com/album/5mYtsDm5XeAIVfCE4899b9,https://music.apple.com/gb/album/why-you-prod-gxxd-single/1466207337,2019,6
1st,18:00,Hot Teen,Hot Teenager,debut digital single,Bonita,https://open.spotify.com/album/4sE7ONpu3oHAWmPUL7OUvA,https://music.apple.com/gb/album/%EB%B3%B4%EB%8B%88%EB%94%B0-single/1466658418,2019,6
1st,12:00,W24,Solfamiredo,digital single,Solfamiredo,https://open.spotify.com/album/5omzKgVcNv6uAA9a864sGZ,https://music.apple.com/gb/album/3rd-digital-single-solfamiredo/1470570276?i=1470570277,2019,7
1st,18:00,D.O (EXO),That's okay,SM STATION 3 project single,That's okay,https://open.spotify.com/album/6EzpktNa8oT04yXVfQieJf,https://music.apple.com/gb/album/thats-okay-single/1470593207,2019,7
1st,18:00,GFRIEND,Fever Season,mini album,Fever,https://open.spotify.com/album/653wpLLPgri15mVNwJOTVR,https://music.apple.com/gb/album/fever-season/1470921587,2019,7
1st,12:00,W24,Stay A Moment,mini album,Stay A Moment,https://open.spotify.com/album/5cNuYNakMN94YLvlKu0NDb,https://music.apple.com/gb/album/%EA%B1%B0%EA%B8%B0-%EC%9E%A0%EC%8B%9C%EB%9D%BC%EB%8F%84-ep/1474928607,2019,8
1st,18:00,D1CE,Wake Up: Roll the World,debut mini album,Wake Up,https://open.spotify.com/album/7q4jf7Gvx0eE2eN6MLywGg,https://music.apple.com/gb/album/wake-up-roll-the-world-ep/1475189859,2019,8
1st,18:00,HA:TFELT,Happy Now,Code Share project single,Happy Now (feat. Moonbyul of MAMAMOO),https://open.spotify.com/album/6C8Md6te1B8A7gbM15Uxd8,https://music.apple.com/gb/album/happy-now-feat-moonbyul/1474197564?i=1474197565,2019,8
2nd,00:00,Jung Yonghwa (CNBLUE),Jellyfish,Japanese single album,Jellyfish,https://open.spotify.com/album/2s9n012o41ZXAEEwwLBQw6,None,2019,8
2nd,00:00,Tobi Lou X Vernon (SEVENTEEN),Looped Up,U.S. digital single,Looped Up,https://open.spotify.com/track/5InZzHAvyMPSMEXT4AeDQ3,https://music.apple.com/gb/album/live-on-ice/1471461888,2019,8
2nd,18:00,GARY,Purple Bikini,digital single,Purple Bikini,https://open.spotify.com/album/0MHvEs8rDUxH39SbvDku4O,https://music.apple.com/gb/album/purple-bikini/1475227911?i=1475227912,2019,8
2nd,18:00,James X Kevin,Falling,digital single,Falling,https://open.spotify.com/album/0FmdOc9PMg7JUGVTVNFWJy,https://music.apple.com/gb/album/falling/1473533354?i=1473533356,2019,8
2nd,18:00,Raiden,The Only,digital single,The Only (feat. Irene of Red Velvet),https://open.spotify.com/album/4uXskh6wXrlNDZ4UrSF8Lh,https://music.apple.com/gb/album/the-only-feat-irene/1474169319?i=1474169320,2019,8
2nd,18:00,Tiffany Young (SNSD),Magnetic Moon,digital single,Magnetic Moon,https://open.spotify.com/album/41hqRHYOMIMejLcn1f0DIc,https://music.apple.com/gb/album/magnetic-moon/1472300253?i=1472300259,2019,8
3rd,18:00,Ha Hyunwoo (Guckkasten),Illusion,digital single,Illusion,https://open.spotify.com/album/4mTzaVptEaB4uxRq4GUsau,https://music.apple.com/gb/album/illusion/1475199303?i=1475199304,2019,8
4th,00:00,Taemin (SHINee),Famous,Japanese mini album,Famous,https://open.spotify.com/album/7zdKOUglfNFwRPoambtnBE,https://music.apple.com/gb/album/famous/1472504129?i=1472504130,2019,8
4th,18:00,VOISPER X Chaekyung (APRIL),Lovesome,digital single,Lovesome,https://open.spotify.com/album/6imAENpftuLpoATsDT667f,https://music.apple.com/gb/album/lovesome/1475438187?i=1475438188,2019,8
5th,18:00,Giant Pink,Forever Young,digital single,Forever Young (feat. Leellamarz),https://open.spotify.com/album/322s5ngWssj3UuDr9EZF4d,https://music.apple.com/gb/album/forever-young-feat-leellamarz-single/1475436823,2019,8
5th,18:00,Oh My Girl,Fall in Love,summer repackage album,Bungee (Fall In Love),https://open.spotify.com/album/6Bqnwz3nM8RcHNTSKQ0DYU,https://music.apple.com/gb/album/fall-in-love/1475462066,2019,8
5th,18:00,PinkFantasy,Fantasy,single album,Fantasy,https://open.spotify.com/album/5Z9TjiRFMhU5pbUvZJIXTB,https://music.apple.com/gb/album/fantasy/1475461732?i=1475461733,2019,8
5th,18:00,SEVENTEEN,HIT,digital single,HIT,https://open.spotify.com/album/36HsGgJsOHL4cHqR4J2GEU,https://music.apple.com/gb/album/hit/1475216527?i=1475216528,2019,8
5th,18:00,TRCNG,Rising,single album,Missing,https://open.spotify.com/album/77GteaAvRNcE92t7Ajmsru,https://music.apple.com/gb/album/rising-ep/1475459892,2019,8
6th,12:00,CSVC,SUMMER LOVE,debut digital single,SUMMER LOVE,https://open.spotify.com/album/1gquEqskA7QSxOnxeXZoY8,https://music.apple.com/gb/album/summer-love/1475610227?i=1475610231,2019,8
6th,18:00,10cm,Do You Think Of Me?,digital single,Do You Think Of Me?,https://open.spotify.com/album/6i8NTK3zdu3TJxo1TR8uzG,https://music.apple.com/gb/album/do-you-think-of-me/1475601843?i=1475601844,2019,8
6th,18:00,E.RUDA,A Seasonal Story: Summer,digital single,Catch Ya,https://open.spotify.com/album/55csxaKKMxnsaEUEkWQSzG,https://music.apple.com/gb/album/catch-ya/1475587642?i=1475587644,2019,8
6th,18:00,Fanatics,The Six,debut mini album,Sunday,https://open.spotify.com/album/3MtR8BHU3OYHYBCPTnCXXh,https://music.apple.com/gb/album/the-six-ep/1475718671,2019,8
6th,18:00,JBJ95,Spark,mini album,Spark,https://open.spotify.com/album/4FsxA8z9EGHmnHnR2ogQOl,https://music.apple.com/gb/album/spark-ep/1475602466,2019,8
6th,18:00,Project A,The Beginning,digital single,The Beginning,https://open.spotify.com/album/0JmHNMp4MceL3chE40eOQv,None,2019,8
6th,18:00,VENUS,Turn Signal,debut digital single,Turn Signal,https://open.spotify.com/album/0AxEVcSkKOaCetL4xNV3sL,https://music.apple.com/gb/album/venus-turn-signal-single/1475587823,2019,8
7th,00:00,BOL4,Some,Japanese digital single,Some (Japanese Ver.),None,None,2019,8
7th,00:00,MAMAMOO,4colors,Japanese full-length album,gogobebe (Japanese Ver.),https://open.spotify.com/album/232T6PgapFXcufLzzRJU8u,None,2019,8
7th,00:00,ONEUS,Twilight,Japanese single album,Twilight (Japanese Ver.),https://open.spotify.com/album/0OtVEJwPFTQrP0QRpZ0p9Y,None,2019,8
7th,00:00,WINNER,MILLIONS,Japanese mini album,MILLIONS (Japanese ver.),None,None,2019,8
7th,12:00,G.O (NTB),I Like The Party,debut digital single,I Like The Party,https://open.spotify.com/album/4Bn4rccDtX172Ogmwf5LBy,https://music.apple.com/gb/album/i-like-the-party-single/1475736099,2019,8
7th,18:00,Dynamic Duo,Blue,digital single,"Blue (feat. Crush, SOLE)",https://open.spotify.com/album/6Sd2Vxt7NeEfS82UYbToqf,None,2019,8
7th,18:00,IN2IT,Run Away,digital single,Run Away,https://open.spotify.com/album/5uqOgdo2BbQu6xtYEfmUZ5,https://music.apple.com/gb/album/run-away-single/1475730974,2019,8
7th,18:00,Ravi (VIXX),Vacay,digital single,Vacay,https://open.spotify.com/album/2gfG5HKrqmu8q71nNHbacm,None,2019,8
7th,18:00,Rocket Punch,Pink Punch,debut mini album,BIM BAM BUM,https://open.spotify.com/album/243nNJW4Zk1vhQwNhZKXh7,https://music.apple.com/gb/album/pink-punch-ep/1475748926,2019,8
8th,18:00,Weki Meki,WEEK END LOL,repackage mini album,Tiki-Taka (99%),https://open.spotify.com/album/07YKMxo9FsEqVsIauzIVXC,https://music.apple.com/gb/album/week-end-lol-ep/1475888918,2019,8
8th,18:00,Henry,I Luv U,digital single,I Luv U,https://open.spotify.com/album/12B1hKoURBG6BZXjJQ2lHT,https://music.apple.com/gb/album/i-luv-u-single/1476039881,2019,8
9th,18:00,Fanxy Child,Y,digital single,Y,https://open.spotify.com/album/65r7zcXPE1JnYntCujySxE,https://music.apple.com/gb/album/y/1475877769?i=1475877771,2019,8
9th,18:00,Soyou X Francis,Bangkok,digital single,Bangkok,https://open.spotify.com/album/3DmrfengvqTFzjb5OEWM0q,https://music.apple.com/gb/album/bangkok-single/1475872996,2019,8
11th,18:00,VINXEN,Skin,digital single,Skin (feat. Seori),https://open.spotify.com/album/57EMnZPUuiDJaPldPoFXoH,https://music.apple.com/gb/album/skin-feat-seori/1475889758?i=1475889759,2019,8
13th,18:00,The Rose,RED,single album,RED,https://open.spotify.com/album/4CMscoZuaGi6UEDC2Wpdtk,https://music.apple.com/gb/album/red/1476359002?i=1476359004,2019,8
14th,00:00,Snuper,Come Over,Japanese single album,Come Over,https://open.spotify.com/album/3dnE1LYIZLHvks88wPjU05,None,2019,8
1st,12:00,Violet,PangPang,debut digital single,PangPang,https://open.spotify.com/album/2MBxQui9uSZgQKfhAcMAi6,https://music.apple.com/gb/album/pangpang/1478389226?i=1478389230,2019,9
1st,18:00,V.O.S,Again,digital single,Again,https://open.spotify.com/album/27ht7C1ABq36tw7Z6wMlkE,https://music.apple.com/gb/album/again/1478594135?i=1478594136,2019,9
2nd,18:00,Brown Eyed Soul,Right,digital single,Right (feat. SOLE),https://open.spotify.com/album/3MmSYZityjpYQXOfCYiJrS,https://music.apple.com/gb/album/right-feat-sole/1478606498?i=1478606499,2019,9
2nd,18:00,GLOSS,Blah Blah Blah,debut digital single,Blah Blah Blah,https://open.spotify.com/album/32Sa1NvzLNPsqsKIh6uBzF,https://music.apple.com/gb/album/blah-blah-blah/1478596624?i=1478596627,2019,9
2nd,18:00,W Project #4,1M1S,digital single,1M1S,https://open.spotify.com/album/18ttoNK06Ps6Eca495modR,https://music.apple.com/gb/album/w-project-4-1m1s/1478611553?i=1478611596,2019,9
3rd,18:00,Jang Woohyuk (H.O.T),STAY,digital single,STAY (feat. Babylon),https://open.spotify.com/album/2RuGSZy2GYv2i1HpVEp37V,https://music.apple.com/gb/album/stay-feat-babylon/1478580204?i=1478580632,2019,9
3rd,18:00,MIND U,I Tried,digital single,I Tried,https://open.spotify.com/album/7dO7WihChwQrMG3aqszKKN,https://music.apple.com/gb/album/i-tried/1478721560?i=1478721561,2019,9
3rd,18:00,San (HOTSHOT),Still on you,debut digital single,Still on you (Feat. Adrian Mckinnon),https://open.spotify.com/album/3bOclY9tnafadBk8szLbH3,https://music.apple.com/gb/album/still-on-you-feat-adrian-mckinnon/1478718729?i=1478718732,2019,9
3rd,18:00,Simon Dominic,No Open Flames,mini album,"GOTT (feat. MOON, Woo Wonjae, & Jvcki Wai)",https://open.spotify.com/album/1426VraRvdBSqtGRfkcKze,https://music.apple.com/gb/album/no-open-flames/1478706668,2019,9
3rd,18:00,We In The Zone,Emotion,digital single,Emotion,https://open.spotify.com/album/1tP0fdmFbwf40zIfABiPBN,https://music.apple.com/gb/album/emotion/1478609928?i=1478609929,2019,9
4th,00:00,MOMOLAND,Chiri Chiri,Japanese full-length album,Pinky Love,https://open.spotify.com/album/1Gi12hQHfhMnG1nEjFrBrt,None,2019,9
4th,12:00,VANNER,5cean : V,single album,Crazy Love,https://open.spotify.com/album/1NgdPUNmHXBpDaRN3jrQLS,https://music.apple.com/gb/album/5cean-v-single/1478707981,2019,9
4th,18:00,Wheein (MAMAMOO),soar,single album,Good bye (prod. Jungkey),https://open.spotify.com/album/7zhSn5lo1BsHmvumiZS3qu,https://music.apple.com/gb/album/good-bye/1478867423?i=1478867424,2019,9
5th,12:00,flor_us,Alive,digital single,Alive,None,https://music.apple.com/gb/album/alive-single/1479138813,2019,9
5th,12:00,Monika,Station,digital single,Station,https://open.spotify.com/album/7qYfbrfpXrXh19DAihUhRt,https://music.apple.com/gb/album/station/1478870693?i=1478870694,2019,9
5th,18:00,Choa X Way (Crayon Pop),My Universe,digital single,My Universe,https://open.spotify.com/album/0gVMQMunz1RiJ8f5J9Xuh1,https://music.apple.com/gb/album/my-universe/1478872713?i=1478872714,2019,9
5th,18:00,Kassy,Rewind,mini album,Story of night fall,https://open.spotify.com/album/1JyUU9Ikh2GztSvChAYYdJ,https://music.apple.com/gb/album/rewind-ep/1479023186,2019,9
6th,18:00,CLC,Devil,digital single,Devil,https://open.spotify.com/album/1HpLXN8RRy1lHO3jckCTkN,https://music.apple.com/gb/album/devil/1478396841?i=1478397104,2019,9
6th,18:00,Im Chang Jung,Never ending,full-length album,Never ending,https://open.spotify.com/album/7x83gj8axBIJHZMI1k9bDY,https://music.apple.com/gb/album/%EC%8B%AD%EC%82%BC%EC%9B%94/1479005710,2019,9
6th,18:00,IONE (former SPEED),idea,mini album,idea,https://open.spotify.com/album/7tvQITWjDEUbg7ctogrTQh,https://music.apple.com/gb/album/idea-ep/1479172621,2019,9
6th,18:00,We Girls,Ride,mini album,Ride,https://open.spotify.com/album/2tmae8LcpzervORWiG6RZr,https://music.apple.com/gb/album/ride-ep/1479171231,2019,9
6th,21:00,Colde,Control Me,digital single,Control Me,https://open.spotify.com/album/1H0pRXIPjc1ialln87CLRi,https://music.apple.com/gb/album/control-me/1478920757?i=1478920758,2019,9
7th,18:00,Yeoeun (ex Melody Day),Fight Day,debut digital single,Fight Day,https://open.spotify.com/album/5Kl5cmw2RxhIFO4G9ASjk8,https://music.apple.com/gb/album/fight-day/1479355815?i=1479355816,2019,9
8th,18:00,Chungha X Mommy Son,FAST,digital single,FAST,https://open.spotify.com/album/1tnhaRf0aRqIrmdyCPPIYc,https://music.apple.com/gb/album/fast-single/1479359131,2019,9
9th,18:00,FTISLAND,Zapping,mini album,Quit,https://open.spotify.com/album/4xv6FYRffJs7z2dIVleFBk,https://music.apple.com/gb/album/zapping-ep/1479387445,2019,9
9th,18:00,Penomeco,Señorita (feat. nafla),digital single,Señorita (feat. nafla),https://open.spotify.com/album/6rZ2VH9MzKhNwG2HLdBslu,https://music.apple.com/gb/album/if-single/1479103133,2019,9
9th,20:00,GroovyRoom X Leellamarz,Room Service,mini album,City Life / In My Room,https://open.spotify.com/album/1GbGtBHI4yiKprKQq81El0,https://music.apple.com/gb/album/room-service/1479396408,2019,9
10th,18:00,Bolbbalgan4 (BOL4),Two Five,mini album,Workaholic,https://open.spotify.com/album/0UJsvx1tZnZRmcpzaG3wRH,https://music.apple.com/gb/album/two-five-ep/1479533100,2019,9
10th,18:00,Euijin (UNB/BIGFLO),Summer Illusion,photobook single,Thinkin 'Bout You,https://open.spotify.com/album/5EBp5GEXIhAIwOEhhkIVvY,https://music.apple.com/gb/album/summer-illusion-thinkin-bout-you/1479501009?i=1479501010,2019,9
10th,18:00,Yoon Jong Shin X Ha Dong Qn,Workaholic,Melody Monthly project single,Workaholic,https://open.spotify.com/album/3rVBl32G6feUNMrvc52p5U,https://music.apple.com/gb/album/workaholic-monthly-project-2019-september-yoon-jong/1479142063,2019,9
11th,00:00,Dreamcatcher,The Beginning Of The End,Japanese full-length album,Breaking Out,https://open.spotify.com/album/7mWbMFRfSrOzmgBLuD0Ztc,https://music.apple.com/gb/album/the-beginning-of-the-end/1475888107,2019,9
11th,00:00,SF9,RPM,Japanese single album,RPM (Japanese Ver.),https://open.spotify.com/album/5JBr6cukucoHgMB81gsfyx,https://music.apple.com/gb/album/rpm-single/1473786289,2019,9
11th,12:00,DONGKIZ,Dreaming You,digital single,Dreaming You,None,https://music.apple.com/gb/album/dreaming-you-single/1486127776,2019,9
11th,12:00,PIERCE,Villain,digital single,Villain,https://open.spotify.com/album/0q1OdKar46YdnetbaZbFyY,https://music.apple.com/gb/album/villain-single/1480349760,2019,9
11th,18:00,DinDin,Malibu,digital single,Malibu (feat. Gray),https://open.spotify.com/album/2ZsjQpjKdcuLdbZxEuUqnu,https://music.apple.com/gb/album/malibu-feat-gray/1479669864?i=1479670016,2019,9
11th,18:00,Sim Yejun (F.Cuz),After Shower,digital single,After Shower,https://open.spotify.com/album/27Kchac7StLOfRKQdfQPBc,https://music.apple.com/gb/album/after-shower/1479708767?i=1479708768,2019,9
13th,12:00,"Mamamoo, AOA, Park Bom",Queendom Part.1,omnibus,Good Luck / Egoistic / HANN,https://open.spotify.com/album/6KEK9ix3xkhj7yqB3vZFtX,https://music.apple.com/gb/album/queendom-pt-1-single/1479661164,2019,9
16th,18:00,ANS,Boom Boom,debut digital single,Boom Boom,https://open.spotify.com/album/0fwlEEMSY4MShAX7KE5Pwz,https://music.apple.com/gb/album/boom-boom/1480204014?i=1480204015,2019,9
1st,12:00,Lee Seunghwan,Between Survival & Romance,pre-release single,Between Survival & Romance,https://open.spotify.com/album/1yEAydSNJg1LDjxwXvNEWh,https://music.apple.com/gb/album/between-survival-romance-single/1481805011,2019,10
1st,18:00,Chen (EXO),Dear my dear,mini album,Shall We?,https://open.spotify.com/album/7vIUunVE4NWLS0uq9X9o5f,https://music.apple.com/gb/album/dear-my-dear-the-2nd-mini-album-ep/1481446116,2019,10
1st,18:00,Hashtag,My Style,digital single,My Style,https://open.spotify.com/album/2b58NrAeyQQRNV8RyE599r,https://music.apple.com/gb/album/my-style/1481922817?i=1481922818,2019,10
2nd,12:00,ARGON,GO FORWARD : Wide Dream,mini album,Give me dat,https://open.spotify.com/album/6iHktUGzL43RMOx84i0Hu4,https://music.apple.com/gb/album/go-forward-wide-dream-ep/1482608527,2019,10
2nd,18:00,Ha Minwoo (ZE:A),The Tempo,mini album,Let Me Love U (feat. Lee Youngji),https://open.spotify.com/album/5hqUbQVi9N4PwCRlcRWDGT,https://music.apple.com/gb/album/the-tempo/1481940844,2019,10
2nd,18:00,Jeong Sewoon,Day,mini album,When it rains,https://open.spotify.com/album/2QTbdXQ4n2Xbng8ZKusUCF,https://music.apple.com/gb/album/day-ep/1482100470,2019,10
2nd,18:00,Kang Xiwon,Supa Diva,mini album,Passionate Love YEOL A-YA,https://open.spotify.com/album/5dxaaGgyuZrfXjTWFKvuOZ,https://music.apple.com/gb/album/supa-diva-ep/1482087557,2019,10
2nd,18:00,Vince,MENNAL,debut digital single,MENNAL (feat. Okasian),https://open.spotify.com/album/2I5RgHEKPnCAqea3CxI4lL,https://music.apple.com/gb/album/mennal-feat-okasian/1481434264?i=1481434269,2019,10
3rd,00:00,Rich Brian X Chungha,These Nights,digital single,These Nights,https://open.spotify.com/album/2ZHGnhsomLmLezueESi9ou,https://music.apple.com/gb/album/these-nights/1478261748?i=1478262060,2019,10
3rd,18:00,Kim Jinho (SG Wannabe),Song Spring,full-length album,Firecrackers and stars,https://open.spotify.com/album/1Auhf57Rd0lWOqRGwbKczz,https://music.apple.com/gb/album/song-spring/1482348445,2019,10
4th,12:00,Jang Woohyuk (H.O.T),WEEKAND,digital single,WEEKAND,https://open.spotify.com/album/3uphdogsFnGhfwpFFPwFfd,https://music.apple.com/gb/album/weekand-single/1482097455,2019,10
4th,12:00,MONSTA X,Someone's Someone,digital single,Someone's Someone,https://open.spotify.com/album/3CFYV1F2RIDoHyinrBv8y5,https://music.apple.com/gb/album/someones-someone-single/1482098000,2019,10
4th,13:00,SuperM,SuperM,debut mini album,Jopping,https://open.spotify.com/album/1C1qYeSC9RdgbrKXpZCTSJ,https://music.apple.com/gb/album/superm-the-1st-mini-album/1477917587,2019,10
4th,18:00,Baek Z Young,Reminisce,mini album,We,https://open.spotify.com/album/6Cat1YqkHL3BT1M4264hHN,https://music.apple.com/gb/album/reminiscence-ep/1482375656,2019,10
4th,18:00,B-Bomb (Block B),Finale,single album,Finale,https://open.spotify.com/album/4Ul92gkL78qV6xtx94PQ3b,https://music.apple.com/gb/album/finale/1482097898?i=1482097899,2019,10
4th,18:00,Limesoda,Wave,digital single,Wave,https://open.spotify.com/album/3cNphMDn97zeDrILVZA2Cu,https://music.apple.com/gb/album/wave/1482095683?i=1482095685,2019,10
4th,18:00,PRSNT (Jenyer),Face Time,digital single,Face Time,https://open.spotify.com/album/1Xl0BkhWfCX9Dewss8YIeB,https://music.apple.com/gb/album/face-time/1484288505?i=1484288511,2019,10
5th,18:00,Ha Sungwoon,Dream of a Dream,Fever Music project single,Dream  of a Dream (prod. Yoon Sang),https://open.spotify.com/album/3KulM5TZ61yFBkPutbwTfC,https://music.apple.com/gb/album/dream-of-a-dream/1482585908?i=1482585909,2019,10
7th,18:00,AB6IX,6IXENSE,full-length album,Blind for Love,https://open.spotify.com/album/0hyCfY4t7eGbYwjDqmQDO8,https://music.apple.com/gb/album/6ixense/1481883177,2019,10
7th,18:00,ONF,GO LIVE,mini album,Why,https://open.spotify.com/album/6N8KkgIpU1T3tenkJxHxk3,https://music.apple.com/gb/album/go-live-ep/1482095464,2019,10
1st,18:00,IU,Love poem,pre-release single,Love poem,https://open.spotify.com/album/5JadtZ710Yj8RSLNbSvDqo,https://music.apple.com/gb/album/love-poem/1485849442?i=1485849443,2019,11
1st,18:00,Jessi X Jay Park,Drip,digital single,Drip,https://open.spotify.com/album/3SEM96cj47LEOZpakQmaf7,https://music.apple.com/gb/album/drip/1485504184?i=1485504878,2019,11
